variable,role,source_table,source_column,event_timestamp,unit_source,prediction_cutoff,allowed_before_cutoff,leakage_rule,notes
subject_id,key,patients,subject_id,static,id,index_dischtime,TRUE,LR10,Patient key. Identifier only - never a model feature. Grouping key for all splits.
hadm_id,key,admissions,hadm_id,admissions.admittime,id,index_dischtime,TRUE,LR10,Index admission key. Identifier only - never a model feature.
split_group,split,admissions,subject_id,static,id,index_dischtime,TRUE,LR10,Patient-level split assignment. Admission-level splitting is prohibited.
age_at_index,demographic,patients + admissions,"anchor_age, anchor_year, admittime",admissions.admittime,years,index_dischtime,TRUE,LR8,Derived: anchor_age + (EXTRACT(YEAR FROM admittime) - anchor_year). Use the derived age only; the anchor year itself must never enter the model. MIMIC caps age at 91 for patients over 89.
gender,demographic,patients,gender,static,category,index_dischtime,TRUE,-,M/F as recorded. Static; no timestamp to violate.
anchor_year_group,excluded,patients,anchor_year_group,static,category,index_dischtime,FALSE,LR8,"EXCLUDED by protocol: encodes absolute calendar era. Dates are patient-shifted, so this is a population-level temporal artefact."
n_prior_admissions,prior_utilization,admissions,hadm_id,admissions.dischtime,count,index_dischtime,TRUE,LR5,Count of the patient's admissions with dischtime < index admittime. Window functions must be bounded to rows preceding the index admission.
n_prior_hf_admissions,prior_utilization,admissions + diagnoses_icd,"hadm_id, icd_code",admissions.dischtime,count,index_dischtime,TRUE,LR4;LR5,Prior admissions carrying a qualifying HF code. Uses only admissions discharged before the index admittime.
days_since_last_discharge,prior_utilization,admissions,dischtime,admissions.dischtime,days,index_dischtime,TRUE,LR5,"Index admittime minus the previous dischtime. NULL for first-ever admission - missingness is informative, do not impute with 0."
n_prior_admissions_30d,prior_utilization,admissions,admittime,admissions.admittime,count,index_dischtime,TRUE,LR5,Prior admissions starting in the 30 days before index admittime.
n_prior_admissions_90d,prior_utilization,admissions,admittime,admissions.admittime,count,index_dischtime,TRUE,LR5,Prior admissions starting in the 90 days before index admittime.
n_prior_admissions_365d,prior_utilization,admissions,admittime,admissions.admittime,count,index_dischtime,TRUE,LR5,Prior admissions starting in the 365 days before index admittime.
n_prior_emergency_admissions,prior_utilization,admissions,admission_type,admissions.admittime,count,index_dischtime,TRUE,LR5,Prior admissions with an emergency admission_type. Category vocabulary must be pinned at Day 2.
cumulative_prior_los_days,prior_utilization,admissions,"admittime, dischtime",admissions.dischtime,days,index_dischtime,TRUE,LR5,Total inpatient days across all prior completed admissions.
index_los_days,index_context,admissions,"admittime, dischtime",admissions.dischtime,days,index_dischtime,TRUE,-,Index length of stay. Fully determined at the cutoff.
index_admission_type,index_context,admissions,admission_type,admissions.admittime,category,index_dischtime,TRUE,-,Known at admission.
index_admission_location,index_context,admissions,admission_location,admissions.admittime,category,index_dischtime,TRUE,-,Known at admission.
index_discharge_location,excluded,admissions,discharge_location,admissions.dischtime,category,index_dischtime,FALSE,LR7,"EXCLUDED as a predictor: recorded at the cutoff but strongly outcome-encoding (e.g. hospice, against advice). Retain as a stratification/QC field only."
index_season_or_year,excluded,admissions,admittime,admissions.admittime,category,index_dischtime,FALSE,LR8,EXCLUDED: absolute calendar time is meaningless under per-patient date shifting.
hf_icd_version_at_index,comorbidity,diagnoses_icd,icd_version,admissions.dischtime,category,index_dischtime,TRUE,LR9,9 or 10. Coding-era proxy; keep for QC and sensitivity analysis rather than as a clinical feature.
hf_seq_num_index,comorbidity,diagnoses_icd,seq_num,admissions.dischtime,rank,index_dischtime,TRUE,LR9,Position of the HF code in the index billing list. seq_num=1 approximates principal diagnosis.
n_diagnoses_index,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,count,index_dischtime,TRUE,LR9,Diagnosis-code count on the index admission; a crude complexity proxy.
comorb_ckd,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 N18* or ICD-9 585*. Index + prior admissions only.
comorb_diabetes,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 E10*-E14* or ICD-9 250*.
comorb_copd,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 J44* or ICD-9 496*.
comorb_atrial_fibrillation,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 I48* or ICD-9 42731.
comorb_ischemic_heart_disease,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 I20*-I25* or ICD-9 410*-414*.
comorb_hypertension,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 I10*-I13* or ICD-9 401*-405*.
comorb_anemia,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR9,ICD-10 D50*-D64* or ICD-9 280*-285*.
charlson_index,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,score,index_dischtime,TRUE,LR9,Candidate composite. Requires a pinned ICD-to-Charlson crosswalk at Day 2; both ICD versions must map.
prior_dx_history_flags,comorbidity,diagnoses_icd,icd_code,admissions.dischtime,binary,index_dischtime,TRUE,LR4;LR9,Same comorbidity flags restricted to admissions discharged before the index admission - the leakage-free variant if discharge-coded index diagnoses prove too permissive.
creatinine_last,lab,labevents + d_labitems,valuenum (itemid via d_labitems.label),labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Last creatinine value with charttime <= cutoff. Renal function; the primary renal signal. Filter to blood specimens and valuenum IS NOT NULL; pin itemids at Day 2 from the audit report.
creatinine_max_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Maximum creatinine during the index admission up to the cutoff.
creatinine_delta_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Last minus first creatinine within the index admission - the within-stay trajectory term.
creatinine_n_measurements,lab,labevents,labevent_id,labevents.charttime,count,index_dischtime,TRUE,LR2,Number of creatinine results before the cutoff; measurement frequency itself carries acuity signal.
bun_last,lab,labevents + d_labitems,valuenum (itemid via d_labitems.label),labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Last BUN / urea nitrogen value with charttime <= cutoff. Renal and volume status; BUN/creatinine ratio is a candidate derived feature. Filter to blood specimens and valuenum IS NOT NULL; pin itemids at Day 2 from the audit report.
bun_max_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Maximum BUN / urea nitrogen during the index admission up to the cutoff.
bun_delta_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Last minus first BUN / urea nitrogen within the index admission - the within-stay trajectory term.
bun_n_measurements,lab,labevents,labevent_id,labevents.charttime,count,index_dischtime,TRUE,LR2,Number of BUN / urea nitrogen results before the cutoff; measurement frequency itself carries acuity signal.
sodium_last,lab,labevents + d_labitems,valuenum (itemid via d_labitems.label),labevents.charttime,labevents.valueuom (expect mEq/L),index_dischtime,TRUE,LR2,Last sodium value with charttime <= cutoff. Hyponatremia is an established HF prognostic marker. Filter to blood specimens and valuenum IS NOT NULL; pin itemids at Day 2 from the audit report.
sodium_max_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mEq/L),index_dischtime,TRUE,LR2,Maximum sodium during the index admission up to the cutoff.
sodium_delta_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mEq/L),index_dischtime,TRUE,LR2,Last minus first sodium within the index admission - the within-stay trajectory term.
sodium_n_measurements,lab,labevents,labevent_id,labevents.charttime,count,index_dischtime,TRUE,LR2,Number of sodium results before the cutoff; measurement frequency itself carries acuity signal.
potassium_last,lab,labevents + d_labitems,valuenum (itemid via d_labitems.label),labevents.charttime,labevents.valueuom (expect mEq/L),index_dischtime,TRUE,LR2,Last potassium value with charttime <= cutoff. Tracks diuretic and RAAS-inhibitor effects. Filter to blood specimens and valuenum IS NOT NULL; pin itemids at Day 2 from the audit report.
potassium_max_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mEq/L),index_dischtime,TRUE,LR2,Maximum potassium during the index admission up to the cutoff.
potassium_delta_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mEq/L),index_dischtime,TRUE,LR2,Last minus first potassium within the index admission - the within-stay trajectory term.
potassium_n_measurements,lab,labevents,labevent_id,labevents.charttime,count,index_dischtime,TRUE,LR2,Number of potassium results before the cutoff; measurement frequency itself carries acuity signal.
hemoglobin_last,lab,labevents + d_labitems,valuenum (itemid via d_labitems.label),labevents.charttime,labevents.valueuom (expect g/dL),index_dischtime,TRUE,LR2,Last hemoglobin value with charttime <= cutoff. Anemia is a common HF comorbidity. Filter to blood specimens and valuenum IS NOT NULL; pin itemids at Day 2 from the audit report.
hemoglobin_max_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect g/dL),index_dischtime,TRUE,LR2,Maximum hemoglobin during the index admission up to the cutoff.
hemoglobin_delta_index,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect g/dL),index_dischtime,TRUE,LR2,Last minus first hemoglobin within the index admission - the within-stay trajectory term.
hemoglobin_n_measurements,lab,labevents,labevent_id,labevents.charttime,count,index_dischtime,TRUE,LR2,Number of hemoglobin results before the cutoff; measurement frequency itself carries acuity signal.
creatinine_baseline_prior,lab,labevents,valuenum,labevents.charttime,labevents.valueuom (expect mg/dL),index_dischtime,TRUE,LR2,Median creatinine from admissions discharged before the index admission - the longitudinal baseline for renal trajectory.
creatinine_delta_vs_baseline,lab,labevents,valuenum,labevents.charttime,mg/dL,index_dischtime,TRUE,LR2,creatinine_last minus creatinine_baseline_prior. NULL when no prior admission exists.
egfr_estimated,lab,labevents + patients,"valuenum, anchor_age, gender",labevents.charttime,mL/min/1.73m2,index_dischtime,TRUE,LR2,"Derived from creatinine_last, age and sex (CKD-EPI). Derived only; race coefficients are not used."
bnp_or_ntprobnp_last,lab,labevents + d_labitems,valuenum,labevents.charttime,labevents.valueuom (pg/mL),index_dischtime,TRUE,LR2,CONDITIONAL on availability - see the audit report before use. BNP and NT-proBNP are different assays with different scales and must not be pooled into one column.
bnp_available_flag,lab,labevents,itemid,labevents.charttime,binary,index_dischtime,TRUE,LR2,Explicit availability indicator so that assay absence is modelled rather than silently imputed.
